Score,Summary,Text
5,"I'll take Barrys, but I prefer Lyons!",And that's pretty much all there is to say!  You can't beat Lyons for a black tea.  The taste is fantastic.
5,Refreshing,"This is a delightful, refreshing drink that is not loaded with sugar and artificial flavors.  Very delicious and thirst-quenching.  Highly recommended."
5,Yumme,These oats are not only gluten-free they are also yumme. They cook fast and are healthy for you and your family. We love them.
5,You will not find a better tasting butter,"The Lurpak Danish butter holds its own in comparison with the most expensive French butter. I actually prefer Lurpak over expensive brands like Beurre d'Echire, Celes-sur-Belle, or Isigny-Ste-Mere.<br /><br />Lurpak is a true lactic, or cultured, butter, and it is full of flavor. Therefore a warning is in order: once you start using this stuff there is no going back. Land O'Lakes simply will not do anymore and you will be stuck searching for this stuff wherever you go from then on."
3,"yes it's delicious, but be informed","from wikipedia: In the United States, Castoreum has been approved by the Food and Drug Administration (FDA) as a food additive, often referenced simply as a ""natural flavoring"" in the product's list of ingredients. It is commonly used in both food and beverages, especially as vanilla and raspberry flavoring.<br /><br />Castoreum (pronunciation: /kæ'st'ri'm/) is the exudate from the castor sacs of the mature North American Beaver Castor canadensis and the European Beaver Castor fiber. Within the zoological realm, castoreum is the yellowish secretion of the castor sac in combination with the beaver's urine, used during scent marking of territory. Both male and female beavers possess a pair of castor sacs and a pair of anal glands located in two cavities under the skin between the pelvis and the base of the tail. The castor sacs are not true glands (endocrine or exocrine) on a cellular level, hence references to these structures as preputial glands or castor glands are misnomers.<br /><br />/wikipedia entry<br /><br />i USED to love raspberry flavored everything, and used the heck out of this extract.  i always assumed the natural flavorings had something to do with raspberries, not beaver butt."
4,Better than its low price suggests,"My four year old Beagle's coat has improved by switching from Pedigree to Rachael Ray. His stool is much firmer now which should help reduce discomfort from impacted anal glands (I also give him ground organic flax seed as a supplement).<br /><br />By comparison, the primary ingredient in Pedigree is corn. With Rachael Ray, the primary ingredients are chicken and rice. It still contains some corn and animal fat but its further down on the list of ingredients. You can tell the difference in quality when you first open the bag -- it smells like proper food. Cheap dog foods tend to stink up the room.<br /><br />I even sampled a few kibbles for myself and found them to be reasonably tasty, like a snack food.<br /><br />I gave it four stars rather than five because it contains cheaper filler grains like corn meal and brewers rice. Among low-cost dog foods, this is arguably the best available option."
5,Delicious,"These are a delightful treat.  We always run out of Snickers Peanut Butter Squares at our house.  Don't be fooled - it looks like a single bar in the larger format, but there are actually two squares in the package.  Our home family enjoys the delicious peanut-buttery taste (is peanut-buttery a word?).  In fact, we would like some now, but Mom ate them all.  We are ordering more right now!"
5,Best Blue Diamond Almonds,"I have tried most of the Blue Diamond Almond flavors and I have to say this one is my FAVORITE!!!  Once I start eating these almonds, it's hard to stop.  YUMMY!!!"
5,wonderful,It was a huge hit for staff to receive this for a job well done. Everything arrived in good shape despite the summer heat! Can't go wrong with this gift.
5,Great GF Pasta,"This pasta is great, with some potato added to the usual GF mix. Tastes like ""real"" pasta to me."
5,Green Mountain Half-Caff K-cups,"You actually have me listed as purchasing a different item.  I purchased the 72 count not the 24count, which is a much better deal.  Hope that you offer the larger quantities more often.  Love the half/caff - just enough kick and great tasting."
1,5 seconds of flavor...  :(,"Not worth the money or time- bummer. I would not recommend this type of gum to anyone young or old. They stick to dental work too, YUCK!"
5,Favorite!,This is my absolute favorite coffee flavor out there!  I'm so glad it comes in K-Cups!  And I'm glad it is so inexpensive!
1,This candle sucks!,"This candle does not work at all. As strong as the smell is you would think it would be the best bug repellent ever, but its not. I have two mosquito bites on my leg to prove it and the darn thing was less than 5 feet away from me!"
1,Yuck!,This soup tastes terrible and looks like hamster food mixed with water.  I would never recommend this to anybody.  I'm very disappointed.
4,"I love this tea, but I won't buy it here.",Come on 28.00 for shipping.  That's more than the tea cost.  How ridiculous!
5,utahsand,"ohh boy oberto it is fresh jerky when it comes to your door with amazons awesome delivery service you will not be upset at all we have tried regular,pepper and the bbq pork flavor and there all great and rember jerky is a great source of protein"
3,Plenty,"I wish they would have given the amount of cinnamon sticks that were in the bag, because I bought 2 not knowing if 1 was enough, and I didn't even go through 1 bag!  There were easily over 100 cinnamon sticks in one bag"
5,A worthy and welcome replacement,"I don't know what has happened to formulation or processing of the ""big name"" Earl Grey teas in the past several years, but the quality of those had degraded to such an extent that I went looking for a replacement. I am happy to say that I have found it in spades in this brand!  The bergamot comes through not only in the aroma but also the taste. (I also really like the color of the box!) This company also makes a ""double bergamot"" Earl Grey but I actually prefer the regular (this one) to the double. If you have become unhappy with your current Earl Grey, I recommend that you give this one a try."
5,Awesomely Delicious,"We love this Carmel Apple Cider.  We are customers for life.  It is so light, not a lot of calories and very delicious."
5,A Touch of Elegance,"It's absolutely amazing how adding a simple dab of sugar can make a cupcake pop! The thing about this product is its vibrance, which quite frankly makes the grocery store brand seem dull. It's as if they infused in granule with as much Red-5 that they could pack in. Mind you sugar and artificial coloring aren't the best things for you, but they make for fun times with food. Would I recommend you to buy it, sure would. After all what do you have to lose, the bottle is cheaper then your store brand and with amazon prime there's no trip to be made to the store."
5,Zukes is great,"Zuke's training treats are made with excellent ingredients, none of the crap I eat for myself. The small size allows me to give my golden more of them than a bigger size."
5,Food Markers Rock!,"These are the first food markers that I have purchased, but they work exactly like you would expect. The tip was defined enough for me to easily write numbers and provide a nice deep black color. I was using it to make tick marks on a fondant tape measure for a sewing themed cake. While this was the simplest component of the cake it easily provided for the biggest ""wow"" factor with people. I would highly recommend these to people getting stated in cake/cookie decorating as it opens up lots of new possibilities."
5,Amazon's Lowrey' bacon curls,"This is an excellent product for curbing the appetite without the abundance of carbs.  They are crisp, fresh and great tasting.  Since I started eating these pork rinds, I dropped some unnecessary pounds."
5,Great Tasting Stuff,This made the best pecan pie ever.  Not just sweet like corn syrup. Actually adds a great flavor to the pie.
5,Wow ... this is a lot of almonds,Got them today.  All seem to be great mature natural almonds.  They are not salted or flavored so should be a healthy snack.  I didn't realize how many there would be.  I poured them into sealable containers because they are going to be around for a while.
3,Just okay,"These are just okay. As cookies go, the taste is nothing special nor that unique. While they certainly are not bad, I will likely not be purchasing these in the future."
1,I was so hopeful,"I read the reviews and was so hopeful. Im sorry but this coffee was nasty from the first wiff. Smelled like old, stale canned coffee. Tasted like the worst coffee at Dennys that you would have to force yourself to drink to be polite. Maybe I got a bad batch but unfortunately I have 32 oz of this unreturnable product."
5,Positively delicious!,"Add a little of this syrup to ice water and you get a fantastic refreshing drink in the summer.  Incidentally, the 0% sugar version is just as delicious!  Growing up in France, I spent many afternoons sitting at cafes sipping this mint drink.  35 years later, it's still as wonderful!"
4,A good blend,This coffee has me looking forward to my breakfast coffee.<br />I've been able to get two good cups out of each pouch<br />on my single cut maker.<br />The resulting coffee isn't as oily as some blends that I have tried<br />recently. I'm enjoying this box while I can.<br />My local store doesn't stock these specialty brands.
5,The Best Mayonaise!,"This is the very best mayonaise on the market. It tastes exactly like homemade mayonaise! I had never had ""bought mayonaise"" until I was in high school, as my Mother always made it at home. I also never dreamed how hard it is to make, keeping the perfect drop by drop of the oil, steady, constantly beating it into the beaten egg yolks, salt,pepper, dry mustard-then gradually adding the lemon juice, then in a nano second-it goes bad--and you have to start all over! Dukes gives me my Mom's mayonaise in all its creamy, tart, glory--Thank you, Dukes!"
1,Very dry,These cookies are extremely dry. They are to the point of being non edible. Total waste of money. Would never buy or recommend to anyone. I will have to stay with the ones I purchase at Sam's Club.
5,This stuff is delicious,"I LOVE THIS STUFF. Really, I do. I have tried all of the flavors, but I haven't tried the original. I have to say, by far, pineapple is my favorite. Guava is a close second. Who am I kidding? I love them all!<br /><br />Despite what others say about it tasting best at room temperature, I find it tastes very refreshing and even better when on ice. If you want a natural, tasty alternative to water, this is for you."
1,All of them came broken!!!,"I bought six can of these wafers and all the wafers were smashed!!!, what a pity!. It is most the cost to return them, that I just put them on the trash. AMAZON SHOULD BE MORE CAREFUL WHEN SELLING and PACKING THIS TYPE OF ITEM, THIS ARE VERY FRAGIL, SO WHEN I OPENED THE BOX THEY WERE NOT WELL PACKED. I am so disappointed because I wasted my money."
1,too expensive,Overpriced! I was shocked when I went into Walmart and purchased this exact same litter for $16<br />Never buying this product off amazon again
5,Great Alternative to Coffee,"I am a certified coffee-holic!  I have recently taken to ""clean-eating"" which eliminates all processed foods and frowns on caffeine.  I was a bit panicked about giving up my coffee habit but found the Teeccino herbal coffee (chocolate mint is my favorite) to be a great alternative.  I haven't given up the caffeine completely but I have reduced it by more than half and I'm sleeping a lot better.  The other good news is that I lost over 50 pounds cutting down on the cafeeine and eating clean so  I am now at a healthy weight."
5,Yummy and Cute!,"Have purchased these a few times - they are always well packaged, fresh with a nice flavor and they are adorable!  Highly recommend!"
1,Teavana,Teavana messed my order up sending it to the wrong address -- it was supposed to be a present.  Never again will I buy online from Teavana
5,Dog's VERY happy with them,"Amazon offered this brand after Merricks hadn't been available for a considerable time; Merrick's pricing began to be way out of line as well. I tried these, found them to be affordable and of superior quality.  Have already re-ordered them - had instructions from my Golden not to EVER run out again.  As usual, Amazon came through for me - I truly appreciate their fine service."
5,My favorite coffees,"I have ordered the coffees i enjoy most in packs of 50, the cost and taste of the Gloria Jean is my favorites so far.. They are a real bargain at a great price!!!"
5,Great value for a good quality jerky,"Great item to do Sub & Save on so you can keep a healthy snack on hand for work, school or just at home. Teriyaki is my personal favorite."
4,"Odd, but I like them","These definitely have a cakey, chalky like texture, but they taste really good.  The chocolate taste is really good without having the weirdness that some diet bars have.  You can tell there are chocolate chips throughout them too.  I usually can't control myself once I start eating cookies and things like that,  but even though these are small, just one takes care of my craving for something sweet.  I'd say give them a try."
5,Kavli crackers are an important part of my diet,"I discovered the Kavli thin crackers in paris at ""Marks & Spencer"" in 1980 and Kavli has been since, ""my bread"" and I was happy, when we moved to the US in 1987, to find them also here.<br /><br />I can say that kavli has been an important part of helping me to keep my weight"
5,non-diet 'diet food',I have been enjoying Healthy Choice healthy mixers but decided to try thisand did not realize that it was already cooked (no need to add water and cook for 3:30 like the healthy mixers. It has 320 calories and 5g of fat and although it is not marketed as 'diet' or 'healthy' it is inline nutritionally with them. Maybe it is just the shape of the container but it feels like more food too.<br />I don't like spicy food per se but this has a tiny kick to it- nothing crazy spicy.<br />It cooks in 60sec which is awesome too. The pasta may have a slightly more 'dense' (not dente)feel to it if that makes sense but really tastes very fresh. Hope amazon stocks these soon! I found them at my local grocery store but was hoping amazon had them in their subscribe & save offerings...
4,Great for traveling,"I brought them for my trip to Europe. The hotels in Europe usually have a kettle, but only instant coffee power. It was wonderful to be able to have a real cup of coffee in my room! It's also organic.<br /><br />I would prefer it to be a bit stronger, but over all this is a great product for traveling and camping. I'll definitely buy them again."
5,A Work of Art,"The box containing Marley Coffee Single Serve Pods is exquisite -- a work of art. The description of the product is fascinating. There is one little problem though. Nowhere on the package or on the individual packets can I find instructions as to the way to use the product. I determined that information by experimentation.<br /><br />The square packets inside are also works of art. There is only one little problem with them: the absence of a notch in the edge to make it easy to tear the packet open. When I manage to open  a packet with a knife, the aroma takes me away. Every time I open one, the marvelous flavor makes me rush to make the coffee, which is as good as it smells."
1,dirtj,sent it back.the top corner of lid was coming off.i dont no who gets the 1 star.i would order again.but found some
5,Always in the pantry.,I love this stuff. I serve it with curry and eat it on crackers and biscuits for a treat :). I always have it on hand.
1,Tastes like a Garbage Disposal,Let me begin by saying I really like most of the flavors of V8 Fusion juice that I have tried. This one is absolutely HORRIBLE. It tastes like a rotten garbage disposal. I brought 6 of the bottles to my office and everyone that took one home agreed that it was awful. I poured the rest out. Get any flavor but this one.
5,Enjoyable,"I only learned about toasted pumpkin seed oil recently, but it has already become a favorite food. I have tried other brands, but this is the best so far. It has a complex aroma of toasted nuts, and goes as well with oatmeal or vanilla ice cream as with a salad. A word of caution: this oil is fragile, and needs to be stored in the refrigerator after opening to preserve its flavors and aromas."
5,No Fuss - Great Taste,"This product is very easy to use and is ready in five minutes.  The hardest part of the process is cutting open the package.  Freeze dried beans in all flavors are far superior to canned.  They have the same great taste of homemade, are rich in flavor, fiber and ease of cooking"
3,"Ok snack, but I won't buy again","These pecans have a salty sweet glaze and are very rich. I usually have a hard time stopping when it comes to praline pecans, but I haven't felt compelled to open up a second bag in the same setting. The thick coating is pretty hard and my mouth is a little raw after eating a 2 ounce bag. The pecans are good quality but I did eat a few that had a slight bitter taste. I prefer an off brand praline pecan at one of my local stores. They use premium pecans with a perfect texture, lighter glaze but just as sweet and not salty. I decided to try these pecans because the other brand is 10.99 at full price for just 10 ounces. Once I finish these pralines I will be going back to the store brand."
5,"Great Anytime Baby, Toddler, Kid Snack","Absolutely love Ella's Kitchen pouches.  The sweet potato, pumpkin, apples and blueberry one is my 12mo son's favorite, although my 5yo loves it as well.  I wish I had discovered them sooner.  Squeeze into a bowl for spoon feeding or let your little one drink directly from the pouch.  They're convenient and healthy - highly recommend!"
3,my kitties didn't care for them,"I liked that these treats didn't have anything gross in them (i.e., corn, wheat, soy, by-products).  My cats don't really care for salmon, but i thought since it was mixed with turkey, which they love, they might like them. Well they didn't, they took one sniff and wanted nothing to do with them.  Though my inside cats didn't want them, the stray cats outside loved them."
4,the real stuff,"Other than the green ones tasting oddly like Pine-Sol, this is the best of the Salt-Water taffy currently found on Amazon.<br />Fralinger's sets the standard."
5,Tortillia Chips with flavor!,"These have much more flavor and taste than regular tortilla chips.  Always a hit when friends come over and we put out the snacks. Top quality ingredients; brown rice, oat fiber, sunflower seeds etc. are what give this product the taste to start a conversation. Serve with fresh veggies and a good dip, always a crowd pleas-er!  I certainly would recommend this product to anyone who is trying to eat more healthy food with great flavor."
5,Best Maple Syrup yet!,"Based on the other 2 reviews I chose to give this brand of syrup a try.  WOW, it has a deep, rich, buttery flavor and aroma.  My husband has been wanting pancakes just so he can eat the syrup! I've used it for a Master Cleanse and don't know if it's the quality of the syrup or what, but have had better success with detoxing using this than a Grade A or other brand of Grade B (this is my 3rd MC).  I look forward to using this for breakfast and baking, I will reorder again and recommend to friends and family! It would make a great gift in a gourmet gift basket!"
5,Fantastic,Nothing... and I mean absolutely nothing compares to these. Semi-hard chocolate shell outside and incredibly smooth chocolate inside. It's heaven in a box. Godiva DOESN'T EVEN COMPARE.<br /><br />The absolute best chocolate ever.
3,"Works, but a little bit tricky","By biggest complaint about this trap is that it is not all that easy to set, and the directions are vague.  Once set it works well and is easy to see even in tall grass, so you can tell from a distance if it has gone off."
1,sickly,"It;s far too sweet why do they make things too sugary??, bought as a 2 for 1 deal...  added cider vinegar to make it into a dressing still too sweet threw it away."
4,Second best canned sardines in the states.,I have lived in Spain. I have tried almost every brand of canned sardines in New York. I still like the ones from Spain. This one is pretty good although not as good as those available in Spain. Since I am here I have to settle with this brand. My complaint is that the fish is a little on the dry side.<br /><br />Goya has the best canned sardines in the states.
5,Delicious,Tastes great and is only 1 WW point!! I have to share with everyone in my office when I make it!
5,The water of paradise!,"Who says all water tastes the same? I can tell the difference while drinking this. This stuff is the best most crisp bottled water I've had. I like to try different bottled waters, such as VOSS, Fred, Smart, Evian, etc. But nothing seems to top Figi, this stuff is truely refreshing. Buy some now!"
5,Great product!,I bought two of those to freeze food for my baby and they are great.  The food pops out pretty easily.  I wish they were a little cheaper though.
3,powder core,These are very sour once you break open the gum .. inside is a sour powder that once disolved quickly loses its sourness.  you are left with little flavor gum.  Not bad for the price I guess and the sour is very intense for a very short burst. I just wish the gum itself had more flavor to last past the burst of sour that came from the inside of gumball.
4,Not Cheap - but seems to keep forever and arrives fast,"This price is about the same as most of the other cheese powder I order online ... but it comes in a sealed can.  So it will keep ""almost forever"" and tastes great."
5,SO disappointed they no longer are making this exact coffee!,"This beats every other Hazelnut k cup out there Now the company has changed the formula and are calling the new hazelnut ""vanilla hazelnut"". Its good, just ok but not as full bodied as this. If you get the chance (and I don't see it first) order the original. Its so worth it!"
1,"STALE AND CAN'T RETURN BECAUSE OF A ""NO-RETURN"" POLICY","I received this box of popcorn and ""STALE"" is an understatement.  The seller has a NON RETURN policy and I can't email them either.<br /><br />DON'T WASTE YOUR MONEY<br />RIP OFF<br /><br />POPCORN IS STALE AND THERE IS A ""NON-RETURN"" POLICY"
2,Over sweet and heavy on dried orange peel,"Robertson products are usually quite good, but this was disappointing.  Baked as is from the jar, there was little flavor other than orange peel.  There seems to be a lot of mashed up fig (or something seeded which resembles fig).  The product is overpoweringly sweet. Sugar is the first ingredient on the label - should have checked before buying!<br /><br />However, it makes a decent base.  Add two cups of diced tart apples, some brandy and a bit more cinnamon/nutmeg and it isn't bad for a quick mincemeat filling."
3,favorite 50 cent KCup is still elusive,"Am still searching for a 50 cent K-Cup with decent flavor. This particular Extra Bold K-Cup is ok but is not anything special. Looking for discounts is tedious and tiresome. Have pretty much decided that the 50 count or 100 count ""value"" packs offer the best price available. Others swear by CostCo so it does help to shop around but the 50 cent K-Cup is still elusive. Extra Bold K-Cups as a whole seem to have better flavor than the regular variety."
4,Worked GREAT - White Woman w/ Blonde Hair,"I just got the product yesterday. I used it last night. I have fine blonde hair with damage from regular abuse. It is also thinning a little, due to the abuse. I put it on starting at roots, massaged into scalp and then ran it through the ends. It stunk. It was not the worst smelling product, but it was not nice. I left it on all night. The smell did not keep me awake. In the morning I washed it twice with a Nexus shampoo and ran a daily conditioner through my hair really quickly. It worked GREAT! My hair feels healthier. My ends show a little less damage, but really the only cure for split ends is a trim. It also looks really shiny. I plan on using this for about an 30 minutes to an hour 3 times a week for about a month then backing off to twice a week - I really don't want my hair to darken, so I might drop down to once a week, depending on how my hair reacts. I will use this product again and would advise anyone that is dealing with brittle, damaged, fine hair to use it as well."
5,Will order again,"This was my first product by San Francisco Bay, but won't be the last.  It works perfectly in the Keurig and the coffee is very good.  I'll continue to buy K-cups from this company."
1,Buffalo bills Jerky,I am unable to review this product.  My intended receipient never received this product.  I became warn down on tracking this as no contact info was provided.  Unhappy!
5,My dog loves these!,"I've tried many different types of ""natural"" biscuits for my dog that has allergies.  These are by far, his favorite!"
3,Muesli,"At first my son loves it but when he tried other baby food he doesn't like this anymore . I think it's the sourness of the apricot that he's not fond of. Earths best should sell a variety so it is easier for us,moms, to feed our children. I was worried that we had to throw about six jars."
5,Mixed spices make you a gourmet cook,"Not just for dipping, these spice mixtures add zest to meats, salads, mashed potatoes -- about anything edible you can name.  My only complaint is that I use them so often in so many different dishes, that I frequently run out -- so I've learned to buy in quantity."
3,"Decent, but a little odd","I didn't read the ingredients carefully enough to see that these are gluten-free. Wheat gluten adds a jerky-like texture to vegetarian jerky, which is missing here.<br /><br />The strips are wet -- not moist -- but wet. Additionally, the Hickory Smoked Soy flavor was waaaaay too sweet and reviewers have said that about other flavors as well.<br /><br />I'll finish the box I purchased, but I probably won't buy more."
3,Great tea....short time before expiration date,"I love, love, love the tea!  It's really good with cream and sugar.  I bought three boxes (they all came as one order,) and the expiration date is three months from now:(  I like the tea, but thought the expiration date would be at least 6 months after I bought the tea."
5,excellent dog food,"After my dog has had wellness, she has more energy then before. I strongly recommend to people to buy it for your dog."
5,Liver Biscotti Dog Treats,Our dog really loves these treats & they are only 3 calories each!! They are quite expensive though & hard to find. It is much more economical to buy them in a 5 lb. bag. Product is great & my shipment came very quickly.
5,"A delicious candy, packaged super-conveniently","Boston Baked Beans are candy-coated peanuts. My favorite candy! There are 24 small boxes of these delicious ""beans,"" packaged in a larger box. Cute display punch-out for stores, or just for easy access to the beans. The small boxes make it easy to take a pack with you, so you can have them whenever you get a craving, and if you're like me, that happens a lot! Great value and quality. I will purchase, again."
5,The best way to a Arnold Palmer!,This is the best Arnold Palmer ever!  The tea is refreshing and brews perfectly!  Totally worth the expense!
3,"Tasty, but expensive and high-sodium","I purchased these hoping they would be a healthier alternative to the cheap Nissan/Maruchan 10 cent noodles you find everywhere. I've consumed literally hundreds of the Nissin/Maruchan, but stopped several years ago because they are just so ridiculously bad for you. I am a recovering addict - on some days I used to eat 6 packs! Make no mistake, these Myojo are healthier for you but they are NOT healthy. One serving has 120% of your DV of sodium (2900mg) and 6 grams of fat/2 grams of saturated fats, 68g of carbs (2g fiber). They also contain MSG in both the dry seasoning and liquid soupbase.<br /><br />Nutrition aside, I was anxious to try these to see how they compare to the cheap ramen. I have an aversion to anything seafood-related so I was dismayed to see the dry seasoning packet contains scallop and clam extract. HOWEVER, I was willing to give these a shot anyway. I cooked up the noodles for the suggested 4 minutes, and stirred in the dry seasoning and liquid (oil/soy sauce) packets. The seafood smell was too much for me - I had to dump it out and then mix it with one of the beef seasoning packets from the Maruchan noodles. As for the liquid packet - it adds a nice smokey, rich flavor to whatever seasoning you choose to use. The texture of the noodles is good and comparable to cheap ramen.<br /><br />The price of these is quite high. You might love the flavor of the seasonings and enjoy that they are not as fatty as cheap ramen, but ask yourself if these are worth up to 24 times the price. If they had lower sodium and less carbs, I could see these being worth it.<br /><br />My next ramen adventure is to try GreeNoodle without seasoning (ASIN: B0054S0P9E)."
5,Fantastic Food for Good Cat Health,"The pet food industry can be one of the most infuriating as you start doing research and discovering what trash manufacturers (and the vets who get paid off by the manufacturers) push onto the unsuspecting public. For reference, don't ask your vet - do some Internet research at sites like, for example, petfoodratings.net. What you'll find is that even the supposed ""high-end"" lines from basically every major supermarket label are horrible for your fuzzy friends. People who trust the marketing or trust their vets overpay and feed their cats foods that are full of carcinogens, cheap ingredients that are inappropriate for a cat's digestive system, and byproducts that provide nothing of value and are basically a way to make cheap profit off of literal garbage. It's a tragedy, as these same cats end up with shorter lifespans, kidney problems, UTIs, cancer, and a host of other issues, all of which could have been avoided by a high quality food.<br /><br />This is an A-Grade food. What you'll find here is very high protein content, many meat meals, potatoes, salmon oil, flax seed, and no grains, which is great as a cat is not an omnivore, it's a carnivore, and it simply does not need grains. It has 50 percent protein, which is among the highest you'll see in cat food. The first 4 ingredients are all meats.<br /><br />What you will NOT find here is the kind of junk you'll see in things like Purina One and Science Diet - byproducts (aka beaks, feathers, bird feet), brewers rice (aka the waste product from making beer), wheat flour (a leading cause of pet allergies), corn gluten (a cheap waste of space), and things like ""liver flavor"" (because they don't want to pay for the real thing). I didn't just pull those ingredients out of the air - I was reading the ingredients list of Purina One. It's pathetic.<br /><br />Don't feed your cats trash. Pay a little more to feed them good food now, and they'll lead longer, healthier, more satisfied lives as a result. It's worth it."
5,Training Reward-High Protein and Non-greasy,"Pro-Treat Beef Liver Freeze Dried Dog Treats are wonderful used as a reward during obedience training. For a dog motivated by food, this is high in protein, low fat, and not greasy so that you may keep it in your pocket! Because a great deal of  treats are used during positive reinforcement training, I have found that by cutting the squares into pieces the size of my pinky fingernail, the dog is not being overfed and will be able to take the treat without having to stop and chew it up, clean the crumbs, etc. This product is especially good when training puppies, because it is a soft treat to chew, therefore, no pressure or pain on those sensitive gums while the pup is in the teething stage. I cut the squares up and place them in a plastic container. When the pieces are gone, there are powdery crumbs left which I sprinkle over the dogs food at feeding time. There is no waste with this product. I have been using Pro-Treat for more than 15 years. The quality is excellent, and I found the best price to be on Amazon after doing a considerable amount of comparison shopping."
